index,Date,Cases,Deaths,Recovered
0,31 January 2020 ,0,0,0
1,1 February 2020 ,0,0,0
2,2 February 2020 ,1,0,0
3,3 February 2020 ,1,0,0
4,4 February 2020 ,0,0,0
5,5 February 2020 ,0,0,0
6,6 February 2020 ,0,0,0
7,7 February 2020 ,0,0,0
8,8 February 2020 ,0,0,0
9,9 February 2020 ,0,0,0
10,10 February 2020 ,0,0,0
11,11 February 2020 ,0,0,0
12,12 February 2020 ,0,0,0
13,13 February 2020 ,0,0,1
14,14 February 2020 ,0,0,0
15,15 February 2020 ,0,0,0
16,16 February 2020 ,0,0,1
17,17 February 2020 ,0,0,0
18,18 February 2020 ,0,0,0
19,19 February 2020 ,0,0,0
20,20 February 2020 ,0,0,1
21,21 February 2020 ,0,0,0
22,22 February 2020 ,0,0,0
23,23 February 2020 ,0,0,0
24,24 February 2020 ,0,0,0
25,25 February 2020 ,0,0,0
26,26 February 2020 ,0,0,0
27,27 February 2020 ,0,0,0
28,28 February 2020 ,0,0,0
29,29 February 2020 ,0,0,0
30,1 March 2020 ,0,0,0
31,2 March 2020 ,2,0,0
32,3 March 2020 ,1,0,0
33,4 March 2020 ,22,0,0
34,5 March 2020 ,2,0,0
35,6 March 2020 ,1,0,0
36,7 March 2020 ,3,0,0
37,8 March 2020 ,5,0,0
38,9 March 2020 ,9,0,0
39,10 March 2020 ,15,0,1
40,11 March 2020 ,8,0,0
41,12 March 2020 ,10,1,0
42,13 March 2020 ,10,0,6
43,14 March 2020 ,11,1,0
44,15 March 2020 ,10,0,3
45,16 March 2020 ,14,0,1
46,17 March 2020 ,20,1,1
47,18 March 2020 ,25,0,0
48,19 March 2020 ,27,1,5
49,20 March 2020 ,58,0,3
50,21 March 2020 ,78,0,0
51,22 March 2020 ,69,3,0
52,23 March 2020 ,94,2,2
53,24 March 2020 ,74,1,15
54,25 March 2020 ,86,1,3
55,26 March 2020 ,73,5,7
56,27 March 2020 ,153,3,25
57,28 March 2020 ,136,5,10
58,29 March 2020 ,120,3,17
59,30 March 2020 ,187,14,35
60,31 March 2020 ,309,6,13
61,1 April 2020 ,424,6,19
62,2 April 2020 ,486,16,22
63,3 April 2020 ,560,14,39
64,4 April 2020 ,579,13,56
65,5 April 2020 ,609,22,43
66,6 April 2020 ,484,16,65
67,7 April 2020 ,573,27,75
68,8 April 2020 ,565,20,96
69,9 April 2020 ,813,46,70
70,10 April 2020 ,871,22,151
71,11 April 2020 ,854,41,186
72,12 April 2020 ,758,42,114
73,13 April 2020 ,1243,27,112
74,14 April 2020 ,1031,37,167
75,15 April 2020 ,886,27,144
76,16 April 2020 ,1061,26,258
77,17 April 2020 ,922,38,273
78,18 April 2020 ,1371,35,426
79,19 April 2020 ,1580,38,388
80,20 April 2020 ,1239,33,419
81,21 April 2020 ,1537,53,703
82,22 April 2020 ,1292,36,394
83,23 April 2020 ,1667,40,642
84,24 April 2020 ,1408,59,484
85,25 April 2020 ,1835,44,442
86,26 April 2020 ,1607,56,585
87,27 April 2020 ,1568,58,580
88,28 April 2020 ,1902,69,636
89,29 April 2020 ,1705,71,690
90,30 April 2020 ,1801,75,630
91,1 May 2020 ,2396,77,962
92,2 May 2020 ,2564,92,831
93,3 May 2020 ,2952,140,911
94,4 May 2020 ,3656,103,1082
95,5 May 2020 ,2971,128,1295
96,6 May 2020 ,3602,91,1161
97,7 May 2020 ,3344,104,1475
98,8 May 2020 ,3339,97,1111
99,9 May 2020 ,3175,115,1414
100,10 May 2020 ,4311,112,1669
101,11 May 2020 ,3592,81,1579
102,12 May 2020 ,3562,120,1905
103,13 May 2020 ,3726,137,1963
104,14 May 2020 ,3991,97,1594
105,15 May 2020 ,3808,104,2234
106,16 May 2020 ,4794,120,4012
107,17 May 2020 ,5049,152,2538
108,18 May 2020 ,4628,131,2482
109,19 May 2020 ,6154,146,3032
110,20 May 2020 ,5720,134,3113
111,21 May 2020 ,6023,148,3131
112,22 May 2020 ,6536,142,3280
113,23 May 2020 ,6667,142,2576
114,24 May 2020 ,7111,156,3285
115,25 May 2020 ,6414,150,3012
116,26 May 2020 ,5907,173,3585
117,27 May 2020 ,7246,188,3434
118,28 May 2020 ,7254,176,3171
119,29 May 2020 ,8138,269,11735
120,30 May 2020 ,8364,205,4303
121,31 May 2020 ,8789,222,4928
122,1 June 2020 ,7723,201,3882
123,2 June 2020 ,8812,222,4531
124,3 June 2020 ,9689,259,3789
125,4 June 2020 ,9847,274,4390
126,5 June 2020 ,9472,286,4770
127,6 June 2020 ,10408,297,5433
128,7 June 2020 ,10882,261,5191
129,8 June 2020 ,8536,271,5171
130,9 June 2020 ,9981,272,5634
131,10 June 2020 ,11156,358,6275
132,11 June 2020 ,11135,394,6044
133,12 June 2020 ,11306,388,7263
134,13 June 2020 ,12039,309,8092
135,14 June 2020 ,11405,324,7358
136,15 June 2020 ,10032,396,10639
137,16 June 2020 ,11086,2004,7226
138,17 June 2020 ,13108,341,6890
139,18 June 2020 ,13829,343,10741
140,19 June 2020 ,14740,364,9029
141,20 June 2020 ,15918,308,13974
142,21 June 2020 ,15151,426,9075
143,22 June 2020 ,13560,312,10879
144,23 June 2020 ,15656,468,10462
145,24 June 2020 ,16868,424,13089
146,25 June 2020 ,18205,401,13983
147,26 June 2020 ,18255,381,10246
148,27 June 2020 ,20142,414,14229
149,28 June 2020 ,19610,384,11631
150,29 June 2020 ,18339,417,13497
151,30 June 2020 ,18256,506,12565
